"neighborhood","property_type","units","avg_size","distance_to_public_transport","distance_to_schools","distance_to_park","recent_sale_price","year_built","crime_rate"
"Adams Morgan","Townhouse",8,1065,0.44,0.77,0.3,1511974,1956,5.7
"Congress Heights","Single Family Home",34,1151,0.85,0.28,0.89,1751626,1974,6.3
"Woodley Park","Single Family Home",22,1311,0.31,0.95,0.36,1220645,1979,17.6
"Shaw","Condominium",31,1191,0.79,0.4,0.82,1052278,1980,22
"Petworth","Townhouse",13,1039,0.32,1,0.64,514879,1951,8.3
"Trinidad","Single Family Home",30,938,0.85,0.11,0.19,1233349,1959,19.6
"Kingman Park","Single Family Home",20,996,0.67,0.32,0.54,1218242,1969,5.2
"Shaw","Single Family Home",35,1382,0.4,0.85,0.35,955218,1954,21.8
"U Street Corridor","Single Family Home",37,1299,0.42,0.19,0.22,NA,2019,8.7
"Logan Circle","Condominium",24,1360,0.57,0.63,0.94,1536865,1968,10.4
"Petworth","Townhouse",14,983,0.73,0.53,0.42,1660758,1995,15.7
"U Street Corridor","Townhouse",25,1327,0.29,0.53,0.57,1330695,1967,23.9
"Columbia Heights","Single Family Home",14,1233,0.24,0.71,0.85,1797421,2012,16.2
"Kingman Park","Single Family Home",24,1203,0.84,0.69,0.77,1409019,1953,23.4
"Columbia Heights","Single Family Home",8,1200,0.77,0.93,0.44,1933428,1999,20
"Woodley Park","Single Family Home",10,1344,0.54,0.41,0.56,1269849,1991,13.9
"U Street Corridor","Townhouse",19,1316,0.88,0.23,0.84,NA,2017,23.6
"Woodley Park","Condominium",6,827,0.9,0.25,0.62,1315415,2015,6.5
"Petworth","Single Family Home",36,1035,0.55,0.16,0.68,582297,1969,9
"Petworth","Single Family Home",23,1349,0.19,0.84,0.92,976414,1958,24.4
"Dupont Circle","Single Family Home",32,1008,0.57,0.75,0.81,1735131,1986,20.4
"Georgetown","Condominium",4,877,0.26,0.47,0.91,1801668,2012,13.2
"Woodley Park","Condominium",3,1032,0.67,0.91,0.48,1680481,1966,23.6
"Columbia Heights","Townhouse",5,1322,0.3,0.24,0.81,NA,1979,19.4
"Dupont Circle","Condominium",17,1142,0.13,0.35,0.28,NA,2016,24.2
"Logan Circle","Condominium",8,1372,0.31,0.35,0.69,1819557,2005,24.2
"Trinidad","Townhouse",23,1173,0.41,0.89,0.99,1609406,2016,19.4
"Logan Circle","Condominium",14,1266,0.3,0.34,0.94,919173,1962,13.3
"Columbia Heights","Townhouse",11,1389,0.24,0.41,0.61,1818049,1966,23.4
"Anacostia","Townhouse",31,1105,0.34,0.72,0.55,1221946,1952,17.1
"Southwest Waterfront","Condominium",9,1163,0.75,0.96,0.24,584341,1996,14.9
"Logan Circle","Condominium",4,1435,0.88,0.4,0.88,848354,2012,16.2
"Brookland","Single Family Home",21,1275,0.76,0.96,0.48,1422346,1982,5.9
"U Street Corridor","Townhouse",13,1246,0.35,0.95,0.64,839212,1990,15.3
"Anacostia","Condominium",8,918,0.44,0.32,0.79,1517102,2000,15.1
"Petworth","Townhouse",24,1275,0.81,0.53,0.48,586317,2004,7.1
"Anacostia","Townhouse",23,1311,0.12,0.66,0.81,736181,2013,20.9
"Southwest Waterfront","Single Family Home",24,1182,0.53,0.32,0.3,1890871,1968,20.1
"Woodley Park","Townhouse",3,1284,0.13,0.48,0.32,760740,2019,18.6
"Van Ness","Townhouse",12,1171,0.3,0.94,0.51,1232740,2008,22.7
"Georgetown","Condominium",7,1509,0.82,0.88,0.89,1568332,1962,13.9
"Kingman Park","Single Family Home",15,1247,0.26,0.37,0.54,1504491,2011,10.3
"Capitol Hill","Townhouse",23,1097,0.55,0.71,0.32,527406,1996,7.8
"Anacostia","Condominium",5,1033,0.66,0.2,0.91,1000520,1998,17.2
"Van Ness","Townhouse",12,1001,0.33,0.13,0.65,1575613,2011,10.8
"Trinidad","Single Family Home",6,1147,0.52,0.99,0.33,1405721,1959,5.1
"Capitol Hill","Townhouse",40,1333,0.19,0.54,0.87,1230059,1977,10.2
"Logan Circle","Single Family Home",30,1008,0.42,0.92,0.48,NA,1975,13.9
"Petworth","Single Family Home",15,1275,0.1,0.3,0.81,1369496,1965,18.9
"Woodley Park","Condominium",9,1186,0.6,0.2,0.34,1969116,1950,16.3
"Anacostia","Townhouse",39,832,0.54,0.86,0.77,1081892,2019,17.9
"Congress Heights","Single Family Home",11,1136,0.52,0.95,0.68,NA,1961,8.7
"Columbia Heights","Single Family Home",33,1313,0.87,0.23,0.23,936479,1974,18.8
"Mount Pleasant","Single Family Home",37,1589,0.77,0.12,0.64,647047,2002,24.3
"Congress Heights","Condominium",14,910,0.63,0.7,0.67,1556329,1967,17.2
"Brookland","Condominium",12,1326,0.78,0.38,0.13,1421556,1985,24.4
"Capitol Hill","Condominium",35,1171,0.85,0.88,0.66,1087463,1957,17.2
"Van Ness","Townhouse",34,1199,0.88,0.63,0.51,964244,1964,18.5
"Kingman Park","Single Family Home",30,1160,0.37,0.95,0.24,850474,1979,11.9
"Kingman Park","Condominium",6,1317,0.31,0.33,0.75,1601944,1986,20.6
"U Street Corridor","Single Family Home",25,1429,0.17,1,0.45,1728372,2007,15.9
"Woodley Park","Townhouse",19,1539,0.57,0.97,0.26,1498796,1953,21.7
"Congress Heights","Single Family Home",40,1242,0.86,0.66,0.67,1893912,1986,23.8
"Anacostia","Single Family Home",40,1408,0.51,0.15,0.81,NA,1959,9.4
"Adams Morgan","Single Family Home",30,1214,0.58,0.64,0.96,1825857,1960,14.9
"Congress Heights","Townhouse",22,1469,0.31,0.97,0.23,1646924,2008,9.5
"Columbia Heights","Single Family Home",25,1166,0.37,1,0.55,868834,1990,16.1
"Anacostia","Townhouse",34,1040,0.16,0.33,0.38,1244500,2016,17.2
"Van Ness","Single Family Home",35,1114,0.34,0.71,0.88,1082151,1959,18.4
"Brookland","Townhouse",11,970,0.81,0.26,0.55,1922951,1962,23.5
"Congress Heights","Single Family Home",13,1281,0.48,0.49,0.84,NA,2000,7.1
"Mount Pleasant","Single Family Home",34,1103,0.14,0.14,0.98,1258066,1990,18.3
"Foggy Bottom","Townhouse",21,1335,0.63,0.57,0.64,1839187,1967,12.5
"Trinidad","Single Family Home",6,1223,0.83,0.69,0.35,1350808,1956,21
"Southwest Waterfront","Townhouse",20,1036,0.27,0.24,0.16,NA,2015,23
"Mount Pleasant","Condominium",16,1107,0.11,0.65,0.94,1485999,2019,14.9
"Petworth","Single Family Home",8,1589,0.87,0.95,0.23,743714,1950,23.6
"Mount Pleasant","Condominium",4,1459,0.5,0.75,0.66,1980472,1971,14.3
"Mount Pleasant","Condominium",38,1210,0.36,0.34,0.4,924608,1973,23.8
"Trinidad","Single Family Home",5,1296,0.15,0.99,0.78,844528,2010,11.6
"Congress Heights","Townhouse",10,1038,0.67,0.62,0.42,1046392,1968,10.1
"Georgetown","Condominium",31,1469,0.51,0.86,0.33,1579455,1992,16.1
"Georgetown","Townhouse",19,1555,0.5,0.92,0.74,1369690,1955,10.7
"Foggy Bottom","Condominium",39,1331,0.45,0.42,0.6,1110389,2000,14.9
"Logan Circle","Condominium",28,789,0.12,0.23,0.99,NA,2013,9.5
"Dupont Circle","Single Family Home",20,1062,0.8,0.58,0.45,1173326,1977,20.9
"Anacostia","Townhouse",5,1485,0.8,0.37,0.15,1975620,1973,13.6
"Foggy Bottom","Townhouse",8,1142,0.63,0.99,0.55,NA,1979,19.3
"Dupont Circle","Townhouse",3,978,0.25,0.2,0.81,1943454,2018,6.1
"Mount Pleasant","Condominium",15,1437,0.12,0.56,0.9,1477278,2005,9.1
"Kingman Park","Condominium",29,1156,0.24,0.14,0.88,1632221,2008,15.5
"U Street Corridor","Single Family Home",31,1184,0.47,0.78,0.23,1029153,1960,16.2
"Dupont Circle","Single Family Home",10,784,0.38,0.27,0.55,1743006,1968,19.5
"Anacostia","Condominium",36,1510,0.81,0.53,0.93,825296,1951,21.4
"Woodley Park","Condominium",21,991,0.24,0.2,0.22,955652,2002,10.9
"Columbia Heights","Condominium",39,1285,0.65,0.9,0.25,1580829,1979,24.8
"Southwest Waterfront","Condominium",21,1078,0.63,0.46,0.89,855443,1996,21.4
"Petworth","Townhouse",38,1392,0.4,0.37,0.72,NA,1952,19.6
"Congress Heights","Condominium",10,1539,0.38,0.78,0.75,1011003,1977,6.4
"Trinidad","Townhouse",34,1124,0.17,0.34,0.46,1051198,1968,6.8
"Southwest Waterfront","Single Family Home",24,1125,0.29,0.26,0.42,1753899,1994,17.7
"Petworth","Single Family Home",5,1084,0.12,0.2,0.43,901325,1958,8.5
"Georgetown","Condominium",14,1187,0.45,0.22,0.23,1643029,1979,8.3
"U Street Corridor","Condominium",13,1327,0.85,0.74,0.66,1633779,1970,18.8
"Van Ness","Townhouse",8,1513,0.31,0.95,0.66,675894,1961,13.1
"Mount Pleasant","Condominium",20,1008,0.53,0.59,0.37,1888468,1952,18.1
"Anacostia","Condominium",24,1108,0.28,0.92,0.28,868698,2010,23.4
"Petworth","Townhouse",28,834,0.78,0.77,0.2,631717,1956,20.9
"Kingman Park","Townhouse",30,1144,0.51,0.41,0.39,687963,2012,23.3
"Brookland","Townhouse",24,887,0.24,0.65,0.17,NA,1955,8.5
"Adams Morgan","Condominium",17,1219,0.85,0.15,0.95,1808917,1970,16.4
"Southwest Waterfront","Condominium",17,1231,0.65,0.7,0.23,1823036,1992,17.4
"Mount Pleasant","Townhouse",31,1151,0.59,0.44,0.63,920788,1983,15.7
"U Street Corridor","Single Family Home",3,926,0.26,0.37,0.27,NA,1989,17.8
"Mount Pleasant","Townhouse",20,1180,0.6,0.59,0.27,884800,1970,6.9
"Adams Morgan","Condominium",29,1308,0.48,0.75,0.7,1233309,1967,17.5
"Capitol Hill","Single Family Home",37,1270,0.71,0.62,0.91,1583844,1965,15.4
"Petworth","Single Family Home",23,NA,0.39,0.26,0.79,1563532,2015,11.2
"U Street Corridor","Single Family Home",40,1189,0.19,0.51,0.14,1885874,1963,14.8
"Adams Morgan","Condominium",11,1176,0.17,0.2,0.82,1498857,1995,19.7
"Congress Heights","Condominium",31,1057,0.18,0.15,0.77,1251013,1990,11.5
"Brookland","Single Family Home",24,1167,0.83,0.22,0.78,NA,2020,12.6
"Mount Pleasant","Townhouse",28,1440,0.76,0.93,0.13,1136321,1984,6.1
"Southwest Waterfront","Condominium",18,1278,0.79,0.9,0.72,1105992,1983,11.7
"Logan Circle","Single Family Home",24,876,0.32,0.49,0.26,1650913,1991,15.4
"Petworth","Townhouse",7,989,0.49,0.45,0.56,662383,1993,15.3
"Shaw","Condominium",18,1314,0.2,0.4,0.97,1106955,1954,17.5
"Logan Circle","Single Family Home",6,1197,0.24,0.84,0.61,1905835,1961,6.7
"Georgetown","Townhouse",36,1153,0.49,0.44,0.4,922083,1972,6.9
"Kingman Park","Single Family Home",17,955,0.66,0.19,0.23,NA,2018,15.2
"Georgetown","Condominium",34,1104,0.33,0.64,0.97,1675210,2012,13.9
"U Street Corridor","Condominium",20,1331,0.56,0.6,0.29,1284096,2012,18
"Congress Heights","Townhouse",22,1041,0.22,0.43,0.29,NA,2018,16.4
"Van Ness","Single Family Home",39,1149,0.56,0.86,0.1,1041842,1952,16.9
"Adams Morgan","Condominium",10,1192,0.73,0.79,0.95,NA,1951,16.8
"Deanwood","Single Family Home",7,915,0.14,0.15,0.41,1280342,1955,6.6
"Kingman Park","Single Family Home",25,1714,0.77,0.47,0.18,1180500,2016,14.3
"Capitol Hill","Single Family Home",20,1200,0.43,0.77,0.27,1648955,1986,23
"Brookland","Single Family Home",19,1281,0.66,0.28,0.6,870486,1957,19.7
"Adams Morgan","Townhouse",40,1286,0.83,0.45,0.8,1160045,1954,11.6
"Deanwood","Townhouse",29,1322,0.44,0.38,0.75,1739486,2006,7.5
"Brookland","Townhouse",25,1116,0.18,0.79,0.19,1263553,2015,21.6
"Capitol Hill","Condominium",37,1316,0.81,0.29,0.12,NA,2011,17.7
"Van Ness","Single Family Home",10,968,0.51,0.91,0.79,1128413,1970,9
"Georgetown","Condominium",23,1119,0.58,0.94,0.16,NA,2014,10.6
"Capitol Hill","Condominium",8,1445,0.17,0.38,0.94,669897,1958,5.6
"Congress Heights","Townhouse",38,982,0.75,0.23,0.78,1767141,1976,11.9
"Georgetown","Townhouse",17,NA,0.62,0.26,0.8,NA,1985,12.6
"Mount Pleasant","Condominium",14,1258,0.18,0.81,0.35,NA,1967,17.4
"Foggy Bottom","Condominium",17,1340,0.26,0.94,0.18,1048922,2019,18.7
"Columbia Heights","Single Family Home",29,945,0.83,0.88,0.1,1695027,1999,12.7
"Mount Pleasant","Single Family Home",34,1149,0.36,0.78,0.93,1372246,2019,18.3
"Brookland","Townhouse",31,1313,0.35,0.84,0.53,1727785,1982,24.5
"Brookland","Condominium",22,1153,0.4,0.76,0.26,696541,1968,16.6
"Deanwood","Single Family Home",13,1158,0.72,0.88,0.81,1288988,1986,11.3
"Capitol Hill","Single Family Home",27,1207,0.73,0.78,0.18,1441098,2016,11.3
"Congress Heights","Single Family Home",10,1348,0.43,0.37,0.86,951677,2004,17.6
"Shaw","Condominium",34,1144,0.69,0.72,0.65,1253689,2011,15.6
"Columbia Heights","Condominium",36,1262,0.82,0.49,0.4,586500,2000,16.3
"Mount Pleasant","Townhouse",22,1237,0.25,0.53,0.61,705927,1973,12.4
"Brookland","Single Family Home",24,1313,0.15,0.78,0.84,1230633,1981,11.2
"Foggy Bottom","Townhouse",6,1328,0.69,0.28,0.24,NA,1999,10.1
"Logan Circle","Single Family Home",32,1148,0.65,0.12,0.23,519199,2005,18
"Columbia Heights","Townhouse",4,1169,0.14,0.25,0.42,1034505,2006,6.7
"Shaw","Condominium",34,1016,0.4,0.84,0.84,1247971,1952,14.3
"Georgetown","Townhouse",13,936,0.89,0.51,0.67,1757473,1980,9.4
"U Street Corridor","Single Family Home",18,1033,0.73,0.54,0.53,1284833,2015,19.5
"Van Ness","Single Family Home",16,1120,0.53,0.58,0.51,1298308,1971,20.4
"Mount Pleasant","Single Family Home",14,936,0.24,0.96,0.7,762255,1955,6.1
"Anacostia","Single Family Home",6,1228,0.28,0.84,0.85,571161,2012,12
"Woodley Park","Single Family Home",22,1139,0.76,0.15,0.61,946673,1966,19.3
"Brookland","Condominium",34,1134,0.64,0.94,0.14,737864,2019,9.4
"Congress Heights","Condominium",15,1395,0.2,0.55,0.44,1211602,1998,21.7
"Woodley Park","Single Family Home",23,1402,0.77,0.88,0.62,1638755,2012,21.6
"Georgetown","Condominium",19,1276,0.46,0.27,0.76,1226704,1974,20.5
"Adams Morgan","Single Family Home",30,1873,0.55,0.22,0.88,1900139,2014,15.7
"Columbia Heights","Condominium",23,1204,0.13,0.13,0.51,1296069,2010,14
"Mount Pleasant","Townhouse",24,919,0.22,0.65,0.46,1934737,1994,5.7
"Logan Circle","Condominium",35,1110,0.33,0.23,0.26,858844,1969,22.5
"Brookland","Single Family Home",36,1212,0.35,0.46,0.99,1666114,1967,12.4
"Capitol Hill","Single Family Home",16,1145,0.39,0.12,0.34,1228649,1962,13.7
"Shaw","Condominium",40,1008,0.87,0.47,0.48,1795026,1997,12.1
"Woodley Park","Condominium",4,1253,0.27,0.86,0.1,NA,2017,5.8
"Columbia Heights","Condominium",17,1563,0.86,0.22,0.41,550517,1977,7.5
"Adams Morgan","Condominium",22,1075,0.47,0.45,0.98,1723075,1991,16
"Southwest Waterfront","Condominium",6,1200,0.52,0.47,0.63,940441,2008,13.9
"Southwest Waterfront","Single Family Home",3,1303,0.26,0.71,0.91,716399,1965,7.2
"Van Ness","Townhouse",32,1023,0.65,0.86,0.55,NA,1971,13.3
"Southwest Waterfront","Townhouse",36,1281,0.24,0.6,0.79,766869,1987,21.1
"Southwest Waterfront","Townhouse",40,1094,0.89,0.49,0.84,NA,1962,8.2
"Kingman Park","Condominium",31,1432,0.27,0.89,0.7,840894,2010,22
"Brookland","Condominium",25,1436,0.84,0.87,0.96,1165902,1979,7.5
"Dupont Circle","Condominium",12,1105,0.74,0.21,0.2,1112188,1964,14.2
"Van Ness","Condominium",16,1210,0.47,0.23,0.31,1715065,1963,24.2
"Congress Heights","Townhouse",4,1286,0.83,0.71,0.64,1117758,1981,24
"Southwest Waterfront","Condominium",37,1195,0.52,0.87,0.17,1322901,1954,13.5
"Petworth","Condominium",19,1300,0.22,0.24,0.91,1554893,1996,22.3
"Anacostia","Single Family Home",25,1387,0.59,0.34,0.73,1338602,2005,6.3
"Logan Circle","Townhouse",33,1313,0.12,0.83,0.34,857043,1966,9.9
"Shaw","Single Family Home",17,1125,0.63,0.71,0.9,1939566,1969,9.6
"Logan Circle","Single Family Home",21,1376,0.48,0.93,0.52,960074,1973,22
"Anacostia","Condominium",9,1249,0.85,0.85,0.86,1483836,1965,20.3
"Petworth","Single Family Home",19,1403,0.87,0.84,0.36,1053580,1966,9.3
"Mount Pleasant","Townhouse",4,994,0.85,0.9,0.26,1356969,1956,17.2
"Foggy Bottom","Single Family Home",13,1575,0.48,0.45,0.26,800234,1991,23.3
"Congress Heights","Townhouse",39,1444,0.84,0.57,0.65,1981002,1980,12.2
"Woodley Park","Townhouse",38,1401,0.4,0.69,0.93,1617165,1960,7.1
"Congress Heights","Single Family Home",14,1354,0.16,0.81,0.84,634046,1962,22.5
"Trinidad","Townhouse",6,1229,0.15,0.66,0.98,1201303,1985,19.3
"Deanwood","Condominium",23,700,0.15,0.37,0.28,1701076,1962,17.2
"U Street Corridor","Townhouse",33,1339,0.81,0.98,0.85,1323741,1958,7.9
"Southwest Waterfront","Condominium",20,1293,0.73,0.35,0.51,1317261,1966,22.4
"Dupont Circle","Single Family Home",10,775,0.44,0.17,0.6,1234466,1950,5.7
"Shaw","Single Family Home",22,1164,0.84,0.79,0.19,867550,1957,8.6
"Logan Circle","Condominium",12,1171,0.32,0.42,0.63,1107937,1956,6.7
"Deanwood","Townhouse",9,967,0.79,0.97,0.49,745104,1991,19.6
"Shaw","Single Family Home",23,1153,0.27,0.7,0.81,1098039,2009,9.3
"Columbia Heights","Condominium",18,872,0.57,0.92,0.57,1488710,1959,15.2
"Capitol Hill","Condominium",20,849,0.88,0.92,0.22,1577692,1995,19.8
"Anacostia","Condominium",30,1525,0.73,0.27,0.61,1351927,1993,23.5
"Logan Circle","Condominium",12,1242,0.56,0.41,0.89,606189,1995,9.2
"Southwest Waterfront","Townhouse",15,1368,0.76,0.54,0.44,1209811,1991,14.3
"Shaw","Condominium",37,1401,0.13,0.67,0.56,1903388,1991,16.2
"U Street Corridor","Single Family Home",5,1187,0.86,0.54,0.35,1200810,1969,22.6
"Southwest Waterfront","Condominium",17,1226,0.23,0.37,0.24,1218779,1965,5.5
"Trinidad","Townhouse",32,1628,0.77,0.39,0.39,1317131,1993,5.2
"Southwest Waterfront","Townhouse",38,1372,0.3,0.9,0.65,1552633,2018,13
"Dupont Circle","Single Family Home",24,990,0.77,0.96,0.22,605324,1990,14.8
"Trinidad","Townhouse",17,1109,0.55,0.86,0.53,NA,2000,21.6
"Georgetown","Condominium",32,1283,0.18,0.59,0.22,784235,1988,10.3
"Mount Pleasant","Condominium",27,1214,0.35,0.44,0.6,532922,1997,24.5
"Woodley Park","Single Family Home",31,1088,0.23,0.97,0.53,1060055,1993,22.5
"Dupont Circle","Condominium",10,1191,0.16,0.64,0.55,726055,2014,17.9
"Mount Pleasant","Townhouse",14,1402,0.62,0.23,0.63,1864537,1996,13.7
"Trinidad","Single Family Home",6,1374,0.37,0.23,0.14,1086397,1978,17.2
"Columbia Heights","Single Family Home",35,1155,0.37,0.58,0.45,1970290,2002,23.8
"Woodley Park","Townhouse",17,1566,0.45,0.33,0.31,1116306,1978,18.9
"Shaw","Condominium",39,1131,0.35,0.52,0.13,584402,1956,12.9
"Adams Morgan","Single Family Home",10,832,0.37,0.7,0.73,1337002,1991,14.9
"Foggy Bottom","Townhouse",9,1250,0.37,0.99,0.44,1902564,1989,9.3
"Brookland","Condominium",24,1008,0.35,0.41,0.45,633166,2018,21.6
"Anacostia","Single Family Home",3,1060,0.77,0.46,0.38,1658157,1991,7.4
"Foggy Bottom","Townhouse",13,780,0.19,0.49,0.43,1380902,2002,10.4
"Georgetown","Single Family Home",35,1161,0.58,0.22,0.12,1422744,1976,9.6
"Columbia Heights","Condominium",29,1480,0.64,0.33,0.19,1039945,1985,20.9
"Adams Morgan","Townhouse",10,1119,0.74,0.33,0.79,1778605,1993,10.9
"Petworth","Single Family Home",35,1099,0.44,0.74,0.27,887846,2018,15.2
"Columbia Heights","Single Family Home",26,1518,0.19,0.31,0.17,1877664,1975,22.6
"Anacostia","Townhouse",9,1358,0.82,0.44,0.5,514153,1975,15.4
"U Street Corridor","Single Family Home",15,1285,0.28,0.72,0.64,NA,1964,15.9
"Deanwood","Single Family Home",34,1328,0.71,0.42,0.55,896453,1991,14.4
"Congress Heights","Single Family Home",16,856,0.3,0.42,0.29,1112871,1963,6.4
"Trinidad","Condominium",28,1279,0.13,0.52,0.9,838121,1952,15.2
"Brookland","Townhouse",17,1066,0.49,0.34,0.32,1007431,2017,21
"Anacostia","Condominium",26,976,0.37,0.52,0.37,NA,1968,22.6
"Columbia Heights","Single Family Home",40,851,0.48,0.67,0.36,1652943,1965,15.2
"Capitol Hill","Townhouse",35,1062,0.47,0.21,0.84,1572659,1977,18.1
"Deanwood","Condominium",40,1224,0.28,0.32,0.11,1231056,1988,9.4
"Congress Heights","Single Family Home",38,948,0.39,0.6,0.77,912677,1999,16.1
"Trinidad","Townhouse",35,1103,0.12,0.81,0.97,1221169,1985,12.6
"Trinidad","Single Family Home",15,1412,0.17,0.2,0.26,1812590,2002,21.2
"Shaw","Townhouse",9,1412,0.14,0.69,0.82,525807,1967,8.5
"Capitol Hill","Single Family Home",30,1303,0.77,0.9,0.51,1076064,1972,17.2
"Van Ness","Condominium",24,1430,0.54,0.87,0.16,662821,1964,10.1
"Deanwood","Single Family Home",27,1239,0.9,0.17,0.57,1652702,2011,24.4
"Petworth","Condominium",24,874,0.71,0.11,0.47,1321281,2014,7.6
"Brookland","Condominium",21,1235,0.58,0.55,0.71,1058351,1992,7.7
"Anacostia","Townhouse",23,1211,0.6,0.69,0.2,1714681,2002,24.4
"Logan Circle","Condominium",26,1045,0.66,0.7,0.82,668243,1966,12.1
"Columbia Heights","Townhouse",29,1039,0.21,0.45,0.12,1083468,1957,8.5
"Deanwood","Townhouse",6,1257,0.36,0.28,0.34,1731944,1965,18.9
"Petworth","Condominium",35,1163,0.81,0.82,0.68,1355464,1962,18.1
"Southwest Waterfront","Townhouse",29,1168,0.8,0.79,0.28,1682763,1994,18
"Georgetown","Single Family Home",8,1410,0.4,0.33,0.94,NA,1957,15.1
"Georgetown","Condominium",36,748,0.18,0.14,0.9,1294544,1972,10.1
"Foggy Bottom","Single Family Home",13,1309,0.79,0.99,0.66,531405,1968,7.3
"Kingman Park","Single Family Home",17,1291,0.5,0.92,0.5,1956663,1961,8.8
"Congress Heights","Single Family Home",31,1240,0.23,0.32,0.11,842245,2017,16.7
"Mount Pleasant","Condominium",26,1457,0.15,0.92,0.49,707574,1988,11
"Logan Circle","Townhouse",8,1260,0.9,0.97,0.17,508167,2000,20
"Southwest Waterfront","Condominium",15,896,0.71,0.17,0.94,1734279,1993,7.9
"Columbia Heights","Condominium",37,726,0.53,0.54,0.56,1858947,1963,23.3
"Congress Heights","Single Family Home",21,1160,0.54,0.61,0.18,1111094,2005,11
"Anacostia","Condominium",22,957,0.3,0.66,0.38,1464166,2016,11
"Columbia Heights","Townhouse",9,1144,0.21,0.98,0.3,1490440,1980,7.4
"Mount Pleasant","Condominium",29,1155,0.37,0.2,0.47,NA,1998,14.6
"Capitol Hill","Townhouse",14,1245,0.52,0.67,0.54,1000252,2019,19.4
"Petworth","Condominium",27,1297,0.16,0.29,0.12,1240484,2004,5.6
"Trinidad","Single Family Home",15,937,0.35,0.6,0.37,1979969,2002,8
"Adams Morgan","Townhouse",19,1371,0.17,0.48,0.52,951638,2003,12.6
"Congress Heights","Townhouse",7,1610,0.68,0.45,0.61,1546874,2020,11.4
"Anacostia","Single Family Home",18,1428,0.63,0.92,0.14,734005,2004,12.7
"Van Ness","Townhouse",8,1157,0.88,0.33,0.21,987311,1990,24.7
"Deanwood","Townhouse",31,1230,0.7,0.21,0.2,1349833,1967,19.2
"Congress Heights","Condominium",24,1624,0.71,0.96,0.12,671116,1974,16.7
"Kingman Park","Condominium",21,1489,0.55,0.9,0.19,1586660,2020,24.5
"Van Ness","Single Family Home",3,1230,0.51,0.15,0.3,1194996,1961,23
"Shaw","Single Family Home",6,1211,0.77,0.35,0.11,NA,1957,22.8
"Deanwood","Townhouse",26,1232,0.36,0.34,0.85,713590,2016,14.1
"Mount Pleasant","Single Family Home",29,1527,0.23,0.72,0.31,NA,2019,9.4
"Van Ness","Condominium",40,986,0.45,0.82,0.28,1992067,1968,9.1
"Dupont Circle","Condominium",6,1024,0.63,0.71,0.13,1989118,1984,7.7
"Trinidad","Single Family Home",15,1234,0.47,0.97,0.97,715844,1968,9.5
"Logan Circle","Single Family Home",27,1420,0.22,0.52,0.47,985585,1999,14.8
"Dupont Circle","Condominium",32,1201,0.46,0.24,0.24,1978700,1985,24.8
"Dupont Circle","Townhouse",35,1120,0.75,0.18,0.43,1681959,1968,7.1
"Brookland","Single Family Home",14,1138,0.24,0.78,0.9,1642571,2003,17.8
"Trinidad","Townhouse",3,1485,0.53,0.63,0.4,925843,1970,12.8
"Foggy Bottom","Single Family Home",39,1280,0.58,0.55,0.53,NA,1992,20.7
"Petworth","Single Family Home",32,1443,0.15,0.71,0.54,782757,1951,19.8
"Mount Pleasant","Single Family Home",40,1077,0.84,0.18,0.4,607660,1980,7.6
"U Street Corridor","Condominium",34,1163,0.44,0.67,0.95,1829042,2006,8.2
"Kingman Park","Condominium",10,1080,0.12,0.54,0.61,1317269,2017,11.6
"Foggy Bottom","Townhouse",13,1086,0.46,0.59,0.95,1553125,1950,6.6
"Dupont Circle","Single Family Home",14,1240,0.87,0.75,0.74,NA,1982,11.8
"Southwest Waterfront","Single Family Home",29,726,0.69,0.18,1,1982263,1981,22.7
"Dupont Circle","Townhouse",24,1297,0.74,0.45,0.23,1431715,1960,6.8
"Brookland","Single Family Home",17,1206,0.65,0.45,0.41,1345563,1969,17.1
"Mount Pleasant","Condominium",18,1125,0.88,0.16,0.98,1854300,1977,5.3
"Mount Pleasant","Condominium",23,1319,0.77,0.37,0.28,1846071,1974,19.6
"Kingman Park","Single Family Home",10,966,0.6,0.15,0.36,872710,1994,10.5
"Deanwood","Single Family Home",7,1405,0.83,0.29,0.67,1622822,2014,13
"Foggy Bottom","Townhouse",26,1058,0.49,0.97,0.73,1811197,1956,7.5
"Shaw","Single Family Home",36,1303,0.51,0.81,0.38,1708485,1966,10.6
"Woodley Park","Condominium",37,1284,0.24,0.54,0.37,1858881,1962,22.1
"Columbia Heights","Townhouse",8,1334,0.87,0.33,0.28,751359,1973,9.7
"Deanwood","Single Family Home",19,1022,0.52,0.83,0.66,761892,1999,8.5
"Petworth","Townhouse",39,972,0.43,0.94,0.76,849287,1956,10.6
"Foggy Bottom","Townhouse",14,1077,0.4,0.63,0.78,727574,1993,9.4
"Brookland","Condominium",37,1199,0.79,0.39,0.92,1538613,2006,20.9
"Georgetown","Single Family Home",9,1114,0.32,0.88,0.64,665955,1961,21
"Adams Morgan","Single Family Home",20,1323,0.63,1,0.94,1592259,2006,8.4
"Mount Pleasant","Condominium",38,1158,0.44,0.97,0.31,732076,1975,17.3
"U Street Corridor","Single Family Home",5,1215,0.76,0.52,0.59,1681604,1960,15.3
"Southwest Waterfront","Single Family Home",22,1564,0.39,0.82,0.55,NA,2016,6.6
"Logan Circle","Townhouse",25,1048,0.55,0.71,0.61,1408832,2007,8.8
